date,dji,djit
05DEC1960,593.49,
06DEC1960,597.11,
07DEC1960,604.62,
08DEC1960,605.17,
09DEC1960,610.9,
12DEC1960,611.94,
13DEC1960,611.72,
14DEC1960,612.68,
15DEC1960,610.76,
16DEC1960,617.78,
19DEC1960,615.56,
20DEC1960,614.82,
21DEC1960,615.42,
22DEC1960,613.31,
23DEC1960,613.23,
27DEC1960,613.38,
28DEC1960,615.75,
29DEC1960,616.19,
30DEC1960,615.89,
03JAN1961,610.25,
04JAN1961,621.49,
05JAN1961,622.67,
06JAN1961,621.64,
09JAN1961,624.42,
10JAN1961,625.72,
11JAN1961,627.21,
12JAN1961,628.5,
13JAN1961,633.65,
16JAN1961,633.19,
17JAN1961,628.96,
18JAN1961,634.1,
19JAN1961,632.39,
20JAN1961,634.37,
23JAN1961,639.82,
24JAN1961,638.79,
25JAN1961,637.72,
26JAN1961,638.87,
27JAN1961,643.59,
30JAN1961,650.64,
31JAN1961,648.2,
01FEB1961,649.39,
02FEB1961,653.62,
03FEB1961,652.97,
06FEB1961,645.65,
07FEB1961,643.94,
08FEB1961,648.85,
09FEB1961,645.12,
10FEB1961,639.67,
13FEB1961,637.04,
14FEB1961,642.91,
15FEB1961,648.89,
16FEB1961,651.86,
17FEB1961,651.67,
20FEB1961,653.65,
21FEB1961,652.4,
23FEB1961,654.42,
24FEB1961,655.6,
27FEB1961,660.44,
28FEB1961,662.08,
01MAR1961,663.03,
02MAR1961,669.39,
03MAR1961,671.57,
06MAR1961,674.46,
07MAR1961,667.14,
08MAR1961,666.15,
09MAR1961,663.33,
10MAR1961,663.56,
13MAR1961,664.44,
14MAR1961,661.08,
15MAR1961,662.88,
16MAR1961,670.38,
17MAR1961,676.48,
20MAR1961,678.84,
21MAR1961,678.73,
22MAR1961,679.38,
23MAR1961,675.45,
24MAR1961,672.48,
27MAR1961,671.03,
28MAR1961,669.58,
29MAR1961,676.41,
30MAR1961,676.63,
03APR1961,677.59,
04APR1961,678.73,
05APR1961,677.32,
06APR1961,679.34,
07APR1961,683.68,
10APR1961,692.06,
11APR1961,694.11,
12APR1961,690.16,
13APR1961,692.02,
14APR1961,693.72,
17APR1961,696.72,
18APR1961,690.6,
19APR1961,686.21,
20APR1961,684.24,
21APR1961,685.26,
24APR1961,672.66,
25APR1961,683.09,
26APR1961,682.18,
27APR1961,679.54,
28APR1961,678.71,
01MAY1961,677.05,
02MAY1961,682.34,
03MAY1961,688.9,
04MAY1961,692.25,
05MAY1961,690.67,
08MAY1961,689.06,
09MAY1961,686.92,
10MAY1961,686.61,
11MAY1961,686.49,
12MAY1961,687.91,
15MAY1961,692.37,
16MAY1961,697.74,
17MAY1961,705.52,
18MAY1961,701.14,
19MAY1961,705.96,
22MAY1961,702.44,
23MAY1961,700.59,
24MAY1961,696.52,
25MAY1961,690.16,
26MAY1961,696.28,
31MAY1961,696.72,
01JUN1961,695.37,
02JUN1961,697.7,
05JUN1961,703.43,
06JUN1961,703.79,
07JUN1961,700.86,
08JUN1961,701.69,
09JUN1961,700.9,
12JUN1961,696.76,
13JUN1961,694.15,
14JUN1961,695.81,
15JUN1961,691.27,
16JUN1961,685.5,
19JUN1961,680.68,
20JUN1961,687.87,
21JUN1961,686.09,
22JUN1961,685.62,
23JUN1961,688.66,
26JUN1961,681.16,
27JUN1961,683.88,
28JUN1961,684.59,
29JUN1961,681.95,
30JUN1961,683.96,
03JUL1961,689.81,
05JUL1961,692.77,
06JUL1961,694.27,
07JUL1961,692.73,
10JUL1961,693.16,
11JUL1961,694.47,
12JUL1961,690.79,
13JUL1961,685.9,
14JUL1961,690.95,
17JUL1961,684.59,
18JUL1961,679.3,
19JUL1961,682.74,
20JUL1961,682.97,
21JUL1961,682.81,
24JUL1961,682.14,
25JUL1961,686.37,
26JUL1961,694.19,
27JUL1961,702.8,
28JUL1961,705.13,
31JUL1961,705.37,
01AUG1961,713.94,
02AUG1961,710.46,
03AUG1961,715.71,
04AUG1961,720.69,
07AUG1961,719.58,
08AUG1961,720.22,
09AUG1961,717.57,
10AUG1961,720.49,
11AUG1961,722.61,
14AUG1961,718.93,
15AUG1961,716.18,
16AUG1961,718.2,
17AUG1961,721.84,
18AUG1961,723.54,
21AUG1961,724.75,
22AUG1961,725.76,
23AUG1961,720.46,
24AUG1961,714.03,
25AUG1961,716.7,
28AUG1961,716.01,
